Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,51.959999,54.200001,51.259998,53.500000,51.772434,14045400
2017-04-01,53.720001,54.570000,53.040001,54.270000,52.517574,7647400
2017-05-01,54.400002,55.759998,54.060001,55.299999,53.514313,8281100
2017-06-01,55.500000,56.240002,54.869999,55.400002,53.611084,9573000
2017-07-01,55.630001,57.680000,54.849998,57.099998,55.682285,6321800
2017-08-01,57.330002,58.250000,56.369999,58.139999,56.696468,6453100
2017-09-01,58.349998,59.060001,57.549999,58.099998,56.657455,9549700
2017-10-01,58.020000,59.880001,58.000000,59.189999,57.720394,8190400
2017-11-01,59.540001,60.520000,58.720001,59.200001,57.730148,7779600
2017-12-01,59.139999,61.080002,58.599998,60.759998,59.251415,6774700
2018-01-01,61.419998,65.550003,61.259998,64.470001,63.918633,8726000
2018-02-01,64.010002,64.290001,58.919998,61.209999,60.686512,14083000
2018-03-01,61.689999,63.189999,60.500000,62.340000,61.806850,7403600
2018-04-01,62.200001,63.110001,60.680000,61.139999,60.617111,11676200
2018-05-01,60.840000,61.779999,59.919998,60.889999,60.369247,6928100
2018-06-01,61.230000,62.020000,56.740002,57.840000,57.345333,4966600
2018-07-01,57.270000,59.959999,57.040001,59.880001,59.880001,6232400
2018-08-01,59.639999,59.990002,56.750000,59.169998,59.169998,10691400
2018-09-01,58.549999,59.470001,57.029999,59.299999,59.299999,13139200
2018-10-01,59.490002,59.490002,53.099998,54.980000,54.980000,17976900
